hand,P1,B1,P2,B2,P3,B3,player_3rd,banker_3rd,xgb_prob,nn_prob,bet_made,unit_size,result,outcome,bankroll
13,0.0,0.0,0.0,5.0,5,0,1,1,0.4748,0.4864,Tie,30,NO BET,0,589.0
14,0.0,0.0,0.0,0.0,0,0,0,0,0.5202,0.4943,Tie,0,NO BET,2,589.0
15,0.0,0.0,6.0,2.0,6,5,0,0,0.5202,0.4928,Player,0,NO BET,2,589.0
16,0.0,0.0,0.0,0.0,0,0,0,0,0.5202,0.4928,Banker,0,NO BET,2,589.0
17,0.0,0.0,0.0,0.0,0,0,0,0,0.5202,0.4928,Banker,0,NO BET,2,589.0
18,0.0,0.0,7.0,0.0,2,0,1,0,0.677,0.5409,Player,30,LOSS,2,559.0
19,3.0,9.0,1.0,9.0,2,1,1,1,0.4744,0.488,Player,30,WIN,0,589.0
20,0.0,1.0,2.0,0.0,0,5,1,1,0.474,0.4908,Banker,30,LOSS,0,559.0
21,0.0,1.0,6.0,4.0,3,8,1,0,0.6728,0.55,Player,30,LOSS,2,529.0
22,0.0,0.0,0.0,0.0,0,6,0,0,0.5156,0.5025,Banker,0,NO BET,2,529.0
23,0.0,0.0,4.0,5.0,8,2,0,0,0.5156,0.504,Player,0,NO BET,2,529.0
24,0.0,0.0,6.0,5.0,7,9,1,0,0.6724,0.5534,Player,30,LOSS,2,499.0
25,0.0,3.0,1.0,7.0,0,5,1,0,0.6724,0.557,Player,30,LOSS,2,469.0
26,7.0,8.0,0.0,3.0,0,9,1,1,0.4682,0.4946,Player,30,WIN,0,499.0
27,8.0,3.0,9.0,4.0,0,5,1,1,0.4682,0.4981,Banker,30,LOSS,0,469.0
28,0.0,1.0,1.0,0.0,7,0,1,0,0.6668,0.563,Banker,30,WIN,2,499.0
